# Force coefficients    
# dragDir               : (9.8480778300336347e-01 1.7364800757855070e-01 0.0000000000000000e+00)
# sideDir               : (0.0000000000000000e+00 0.0000000000000000e+00 -1.0000000000000002e+00)
# liftDir               : (-1.7364800757855070e-01 9.8480778300336336e-01 0.0000000000000000e+00)
# rollAxis              : (9.8480778300336347e-01 1.7364800757855070e-01 0.0000000000000000e+00)
# pitchAxis             : (0.0000000000000000e+00 0.0000000000000000e+00 -1.0000000000000002e+00)
# yawAxis               : (-1.7364800757855070e-01 9.8480778300336336e-01 0.0000000000000000e+00)
# magUInf               : 1.0000000000000000e+00
# lRef                  : 1.0000000000000000e+00
# Aref                  : 1.0000000000000000e+00
# CofR                  : (2.5000000000000000e-01 0.0000000000000000e+00 -5.0000000000000000e-01)
#
# Time                  	Cd                      	Cs                      	Cl                      	CmRoll                  	CmPitch                 	CmYaw                   	Cd(f)                   	Cd(r)                   	Cs(f)                   	Cs(r)                   	Cl(f)                   	Cl(r)                   
18                      	1.1329996126436916e-01	-2.4529608642679685e-22	8.1802213084050168e-01	-8.1802213084050168e-01	-8.7242445029626622e-02	1.1329996126436918e-01	-7.6137215020831706e-01	8.7467211147268631e-01	1.1329996126436918e-01	-1.1329996126436918e-01	3.2176862039062420e-01	4.9625351044987748e-01
19                      	1.1687278903356239e-01	-2.0796371784702042e-22	8.3891500111736961e-01	-8.3891500111736972e-01	-9.1369396417994325e-02	1.1687278903356241e-01	-7.8047860660058854e-01	8.9735139563415089e-01	1.1687278903356241e-01	-1.1687278903356241e-01	3.2808810414069045e-01	5.1082689697667916e-01
20                      	1.2244021755021625e-01	-1.6530321295020146e-22	8.5872092721728233e-01	-8.5872092721728244e-01	-9.5749519283142348e-02	1.2244021755021628e-01	-7.9750081844217435e-01	9.1994103599239052e-01	1.2244021755021628e-01	-1.2244021755021628e-01	3.3361094432549881e-01	5.2510998289178357e-01
21                      	1.2811010333072925e-01	-1.2710359797344534e-22	8.7629477937132094e-01	-8.7629477937132061e-01	-9.9710973550201587e-02	1.2811010333072920e-01	-8.1223972770595598e-01	9.4034983103668524e-01	1.2811010333072920e-01	-1.2811010333072920e-01	3.3843641613545888e-01	5.3785836323586200e-01
22                      	1.3217289515391792e-01	-9.3992615042382048e-23	8.9313555368897868e-01	-8.9313555368897868e-01	-1.0316469667532656e-01	1.3217289515391795e-01	-8.2704910611201976e-01	9.5922200126593760e-01	1.3217289515391795e-01	-1.3217289515391795e-01	3.4340308016916277e-01	5.4973247351981591e-01
23                      	1.3592269948105365e-01	-5.6521466051897688e-23	9.0994210844988255e-01	-9.0994210844988266e-01	-1.0660617013617139e-01	1.3592269948105365e-01	-8.4198075870935585e-01	9.7790345819040947e-01	1.3592269948105365e-01	-1.3592269948105365e-01	3.4836488408876987e-01	5.6157722436111268e-01
24                      	1.3947034065024963e-01	-2.2127864316997768e-23	9.2621316760223027e-01	-9.2621316760223049e-01	-1.0965143048557878e-01	1.3947034065024966e-01	-8.5647799727710572e-01	9.9594833792735527e-01	1.3947034065024966e-01	-1.3947034065024966e-01	3.5345515331553634e-01	5.7275801428669393e-01
25                      	1.4170171209420565e-01	1.3690410966951388e-23	9.4108460742022493e-01	-9.4108460742022515e-01	-1.1224717126527144e-01	1.4170171209420568e-01	-8.7023375137312231e-01	1.0119354634673279e+00	1.4170171209420568e-01	-1.4170171209420568e-01	3.5829513244484101e-01	5.8278947497538391e-01
26                      	1.4364019169070277e-01	4.5165117600711387e-23	9.5528324328131164e-01	-9.5528324328131176e-01	-1.1438963057134724e-01	1.4364019169070277e-01	-8.8346314743596033e-01	1.0271033391266631e+00	1.4364019169070277e-01	-1.4364019169070277e-01	3.6325199106930861e-01	5.9203125221200303e-01
27                      	1.4491620091253468e-01	7.2415759501930458e-23	9.6823087971457944e-01	-9.6823087971457955e-01	-1.1617411519288028e-01	1.4491620091253468e-01	-8.9577277925831222e-01	1.0406889801708470e+00	1.4491620091253468e-01	-1.4491620091253468e-01	3.6794132466440943e-01	6.0028955505017001e-01
28                      	1.4593998265756256e-01	9.5034036933886501e-23	9.8025670633620754e-01	-9.8025670633620765e-01	-1.1767912190639929e-01	1.4593998265756256e-01	-9.0728671500742641e-01	1.0532266976649889e+00	1.4593998265756256e-01	-1.4593998265756256e-01	3.7244923126170448e-01	6.0780747507450306e-01
29                      	1.4655335817148549e-01	1.1569343974462495e-22	9.9124997060820563e-01	-9.9124997060820574e-01	-1.1886395114371043e-01	1.4655335817148546e-01	-9.1797329152246299e-01	1.0645266496939485e+00	1.4655335817148546e-01	-1.4655335817148546e-01	3.7676103416039242e-01	6.1448893644781322e-01
30                      	1.4684170498579674e-01	1.3446535311039032e-22	1.0013055163185698e+00	-1.0013055163185696e+00	-1.1975092157938130e-01	1.4684170498579671e-01	-9.2788466382567125e-01	1.0747263688114679e+00	1.4684170498579671e-01	-1.4684170498579671e-01	3.8090183657990362e-01	6.2040367973866617e-01
31                      	1.4694756188366537e-01	1.5253052421911788e-22	1.0108353856204357e+00	-1.0108353856204357e+00	-1.2042714049763006e-01	1.4694756188366540e-01	-9.3736160467860308e-01	1.0843091665622684e+00	1.4694756188366540e-01	-1.4694756188366540e-01	3.8499055231258783e-01	6.2584483330784790e-01
32                      	1.4692820782660512e-01	1.6945506386833455e-22	1.0196052755146356e+00	-1.0196052755146356e+00	-1.2084449984066938e-01	1.4692820782660512e-01	-9.4614117160133304e-01	1.0930693794279382e+00	1.4692820782660512e-01	-1.4692820782660512e-01	3.8895813791664846e-01	6.3064713759798718e-01
33                      	1.4688931529761109e-01	1.8591922699086805e-22	1.0283337857467902e+00	-1.0283337857467905e+00	-1.2115506668651600e-01	1.4688931529761112e-01	-9.5488912809798487e-01	1.1017784433955959e+00	1.4688931529761112e-01	-1.4688931529761112e-01	3.9301182618687913e-01	6.3532195955991111e-01
34                      	1.4666078045328931e-01	2.0213825135737500e-22	1.0365523220049739e+00	-1.0365523220049744e+00	-1.2127090434848999e-01	1.4666078045328934e-01	-9.6322193177832971e-01	1.1098827122316191e+00	1.4666078045328934e-01	-1.4666078045328934e-01	3.9700525665399700e-01	6.3954706535097694e-01
35                      	1.4628213575070567e-01	2.1861779516853008e-22	1.0446565216820973e+00	-1.0446565216820973e+00	-1.2124153827762059e-01	1.4628213575070570e-01	-9.7151545380674453e-01	1.1177975895574501e+00	1.4628213575070570e-01	-1.4628213575070570e-01	4.0108672256342809e-01	6.4356979911866929e-01
36                      	1.4560892320533911e-01	2.3587413264698142e-22	1.0524547514931195e+00	-1.0524547514931195e+00	-1.2101297928157274e-01	1.4560892320533911e-01	-9.7965028989045000e-01	1.1252592130957890e+00	1.4560892320533911e-01	-1.4560892320533911e-01	4.0521439646498703e-01	6.4724035502813249e-01
37                      	1.4479793235139116e-01	2.5366163161315430e-22	1.0603440196222271e+00	-1.0603440196222274e+00	-1.2064497660848335e-01	1.4479793235139118e-01	-9.8794505344653172e-01	1.1327429857979230e+00	1.4479793235139118e-01	-1.4479793235139118e-01	4.0952703320263023e-01	6.5081698641959695e-01
38                      	1.4376710664384773e-01	2.7212131920079409e-22	1.0678595079280524e+00	-1.0678595079280524e+00	-1.2008567738363354e-01	1.4376710664384773e-01	-9.9597595460612853e-01	1.1397430612499764e+00	1.4376710664384773e-01	-1.4376710664384773e-01	4.1384407658039268e-01	6.5401543134765971e-01
39                      	1.4257520133131588e-01	2.9106162837106520e-22	1.0753082681769275e+00	-1.0753082681769275e+00	-1.1934924299654751e-01	1.4257520133131585e-01	-1.0040206675112695e+00	1.1465958688425855e+00	1.4257520133131585e-01	-1.4257520133131585e-01	4.1830489109191626e-01	6.5700337708501122e-01
40                      	1.4120331672984737e-01	3.1049814826990935e-22	1.0822076736954154e+00	-1.0822076736954152e+00	-1.1843406010856587e-01	1.4120331672984737e-01	-1.0116060153304915e+00	1.1528093320603388e+00	1.4120331672984737e-01	-1.4120331672984737e-01	4.2266977673914180e-01	6.5953789695627352e-01
41                      	1.3979372022885095e-01	3.3064995771839473e-22	1.0892274007806484e+00	-1.0892274007806484e+00	-1.1737071290808752e-01	1.3979372022885095e-01	-1.0193305406662230e+00	1.1591242608950738e+00	1.3979372022885095e-01	-1.3979372022885095e-01	4.2724298748223666e-01	6.6198441329841173e-01
42                      	1.3841057745614405e-01	3.5135865819098458e-22	1.0958100743408217e+00	-1.0958100743408217e+00	-1.1620652394925637e-01	1.3841057745614405e-01	-1.0266047856127496e+00	1.1650153630688938e+00	1.3841057745614405e-01	-1.3841057745614405e-01	4.3169851322115449e-01	6.6411156111966718e-01
43                      	1.3710374464159139e-01	3.7251604185176223e-22	1.1020625994235167e+00	-1.1020625994235167e+00	-1.1496137170077854e-01	1.3710374464159142e-01	-1.0335107271027211e+00	1.1706144717443123e+00	1.3710374464159142e-01	-1.3710374464159142e-01	4.3606992801097982e-01	6.6599267141253693e-01
44                      	1.3606160354750643e-01	3.9442785782181441e-22	1.1084345330170364e+00	-1.1084345330170364e+00	-1.1367805826262078e-01	1.3606160354750646e-01	-1.0404037312432832e+00	1.1764653347907896e+00	1.3606160354750646e-01	-1.3606160354750646e-01	4.4053920824589743e-01	6.6789532477113900e-01
