# Solver information    
# Time                  	U_solver                	Ux_initial              	Ux_final                	Ux_iters                	Uy_initial              	Uy_final                	Uy_iters                	U_converged             	k_solver                	k_initial               	k_final                 	k_iters                 	k_converged             	p_solver                	p_initial               	p_final                 	p_iters                 	p_converged             	omega_solver            	omega_initial           	omega_final             	omega_iters             	omega_converged         
19                      	smoothSolver	4.4984373052985530e-06	2.0369582061691451e-07	2	4.1487427962199156e-06	1.8151227137045459e-07	2	false	smoothSolver	2.9622850433816231e-06	1.8308676004180151e-07	1	true	GAMG	7.4445488067928639e-05	7.4375484058836066e-06	46	true	smoothSolver	3.5853778438970537e-08	2.2199036854595960e-09	1	true
20                      	smoothSolver	4.6174797309542497e-06	2.0816703663107299e-07	2	4.1615654002364068e-06	1.8444178686931531e-07	2	false	smoothSolver	2.4963242249967781e-06	1.5801494484827399e-07	1	true	GAMG	7.0630795756488149e-05	7.0194644619014252e-06	46	true	smoothSolver	3.0950567328963173e-08	1.9523649724444900e-09	1	true
21                      	smoothSolver	4.7345588144346671e-06	2.1292627814859360e-07	2	4.1903232848506842e-06	1.8787770121967779e-07	2	false	smoothSolver	2.1274986437115261e-06	1.3782816591570709e-07	1	true	GAMG	6.4465239050374290e-05	6.3837728295945563e-06	48	true	smoothSolver	2.7021202493162529e-08	1.7344356181731650e-09	1	true
22                      	smoothSolver	4.8567045937980410e-06	2.1738424309892759e-07	2	4.2386909228718049e-06	1.9150421075989810e-07	2	false	smoothSolver	1.8311492966646831e-06	1.2147360276185000e-07	1	true	GAMG	5.9839540300450980e-05	5.8421230340173581e-06	49	true	smoothSolver	2.3886541781323370e-08	1.5543111845191119e-09	1	true
23                      	smoothSolver	5.0062710303352793e-06	2.2106279540764530e-07	2	4.3350282977150420e-06	1.9492796817640869e-07	2	false	smoothSolver	1.5913429364408819e-06	1.0829515136929560e-07	1	true	GAMG	5.6250794111805791e-05	5.6034520643210081e-06	51	true	smoothSolver	2.1341760466358040e-08	1.4049770696246751e-09	1	true
24                      	smoothSolver	5.1030091538041186e-06	2.2399541353506241e-07	2	4.4033628025180449e-06	1.9803865516656401e-07	2	false	smoothSolver	1.3936645559005590e-06	9.7558074136584403e-08	1	true	GAMG	5.6638447516505788e-05	5.5888587434142253e-06	55	true	smoothSolver	1.9169965783002899e-08	1.2788371704056989e-09	1	true
25                      	smoothSolver	5.2173106448127062e-06	2.2490008602857111e-07	2	4.4721716984633556e-06	1.9996539552877790e-07	2	false	smoothSolver	1.2290210830585890e-06	8.8567500971254646e-08	1	true	GAMG	5.6084774566855093e-05	5.5851629979813637e-06	55	true	smoothSolver	1.7344666433897309e-08	1.1715280844936559e-09	1	true
26                      	smoothSolver	5.3158176736264012e-06	2.2547502802956491e-07	2	4.5753475826637122e-06	2.0257305406990270e-07	2	false	smoothSolver	1.0900176083009280e-06	8.0837330506351800e-08	1	true	GAMG	5.7876747933966882e-05	5.7436729156490007e-06	50	true	smoothSolver	1.5764767841518870e-08	1.0792213408428701e-09	1	true
27                      	smoothSolver	5.4073114425857136e-06	2.2494533548576789e-07	2	4.6486368650561346e-06	2.0436283209306360e-07	2	false	smoothSolver	9.7143526543790740e-07	7.3924033347047366e-08	1	true	GAMG	6.0855528323192580e-05	5.9504858942387251e-06	42	true	smoothSolver	1.4430548281286010e-08	9.9867587652563314e-10	1	true
28                      	smoothSolver	5.5047401561294567e-06	2.2408419995469030e-07	2	4.7495409865563213e-06	2.0639431295034361e-07	2	false	smoothSolver	8.7030911387642137e-07	6.7652576551236324e-08	1	true	GAMG	6.3819687639715602e-05	6.2585034935809818e-06	36	true	smoothSolver	1.3255966608199270e-08	9.2725416926489818e-10	1	true
29                      	smoothSolver	5.5910115755805569e-06	2.2245943430278371e-07	2	4.8569797501046601e-06	2.0827400466535321e-07	2	false	smoothSolver	7.8323801500809522e-07	6.1989191353104826e-08	1	true	GAMG	6.6660969788901191e-05	6.5222738016723870e-06	34	true	smoothSolver	1.2237804197560250e-08	8.6326431478529758e-10	1	true
30                      	smoothSolver	5.6718403770959137e-06	2.2008506670152690e-07	2	4.9728654172661967e-06	2.1032634252013299e-07	2	false	smoothSolver	7.0818624454142317e-07	5.6842591586575901e-08	1	true	GAMG	6.9399220762653239e-05	6.9275222949796088e-06	33	true	smoothSolver	1.1340296375481240e-08	8.0569689954245338e-10	1	true
31                      	smoothSolver	5.7870814638626703e-06	2.1729044527920549e-07	2	5.1445110981513901e-06	2.1252466340606159e-07	2	false	smoothSolver	6.4254931411865697e-07	5.2251086343787893e-08	1	true	GAMG	7.0562040188979646e-05	6.7764550929137262e-06	32	true	smoothSolver	1.0522491008175780e-08	7.5365599864103017e-10	1	true
32                      	smoothSolver	5.8586077781517961e-06	2.1380062891496890e-07	2	5.2874330994899258e-06	2.1546050475278690e-07	2	false	smoothSolver	5.8659651094866765e-07	4.8238107361709190e-08	1	true	GAMG	7.4377889163214678e-05	7.4267249043262628e-06	29	true	smoothSolver	9.7961044520325597e-09	7.0657987809589448e-10	1	true
33                      	smoothSolver	5.9217988916746517e-06	2.0973120236077029e-07	2	5.4360829892048426e-06	2.1769695147920201e-07	2	false	smoothSolver	5.3751875589766571e-07	4.4680401166692417e-08	1	true	GAMG	7.6963419488612495e-05	7.3369739844399141e-06	26	true	smoothSolver	9.1507482365507301e-09	6.6435786796688197e-10	1	true
34                      	smoothSolver	5.9839170160459561e-06	2.0562961891039600e-07	2	5.5083533564842812e-06	2.2004554018640369e-07	2	false	smoothSolver	4.9529722254541301e-07	4.1619236412543419e-08	1	true	GAMG	8.0365210713061590e-05	7.8902892719724855e-06	24	true	smoothSolver	8.5769659854872720e-09	6.2577268131466498e-10	1	true
35                      	smoothSolver	6.0677604745718592e-06	2.0337546303633090e-07	2	5.6421185250916514e-06	2.2302999968929440e-07	2	false	smoothSolver	4.5762059349199032e-07	3.8901083239736902e-08	1	true	GAMG	8.3296758082810498e-05	7.7372760723084030e-06	24	true	smoothSolver	8.0610744938118031e-09	5.9065982444515087e-10	1	true
36                      	smoothSolver	6.1433544675485593e-06	2.0065200686663380e-07	2	5.7811442310682696e-06	2.2639413244521861e-07	2	false	smoothSolver	4.2444287381483230e-07	3.6504529217293452e-08	1	true	GAMG	8.5771001520724860e-05	8.1658586611553576e-06	22	true	smoothSolver	7.5809108803424894e-09	5.5876093205393263e-10	1	true
37                      	smoothSolver	6.2042025465242138e-06	1.9844899990292500e-07	2	5.9245349737409060e-06	2.3035267441755750e-07	2	false	smoothSolver	3.9467950674793850e-07	3.4383243555541083e-08	1	true	GAMG	8.9136786524692525e-05	7.9526591306483341e-06	22	true	smoothSolver	7.1445482660364880e-09	5.2945287958258199e-10	1	true
38                      	smoothSolver	6.2664835385129939e-06	1.9767988530492970e-07	2	6.0776789984804317e-06	2.3489662805602579e-07	2	false	smoothSolver	3.6904549742107322e-07	3.2561349805761907e-08	1	true	GAMG	9.2677829777034702e-05	8.6176352823082897e-06	20	true	smoothSolver	6.7629112546075480e-09	5.0266721554876783e-10	1	true
39                      	smoothSolver	6.3044377167452858e-06	1.9611088214911160e-07	2	6.2347568887999501e-06	2.3977706540014418e-07	2	false	smoothSolver	3.4630080723784721e-07	3.0957405221610531e-08	1	true	GAMG	9.6625798971970470e-05	8.5944026994261931e-06	20	true	smoothSolver	6.4013175986278819e-09	4.7797580260472758e-10	1	true
40                      	smoothSolver	6.3350025107822446e-06	1.9505678604247289e-07	2	6.3933834608991528e-06	2.4500087660818092e-07	2	false	smoothSolver	3.2531075827408519e-07	2.9501772855692021e-08	1	true	GAMG	9.9915004205326837e-05	9.8174311292413188e-06	18	true	smoothSolver	6.0872393228380038e-09	4.5536820518819152e-10	1	true
41                      	smoothSolver	6.3798498775073794e-06	1.9432609455796351e-07	2	6.5617756639195999e-06	2.5052614031202331e-07	2	false	smoothSolver	3.0649182906142980e-07	2.8165919028096129e-08	1	true	GAMG	1.0263261444929600e-04	9.9019697776229150e-06	19	true	smoothSolver	5.7920182413668019e-09	4.3441901424608018e-10	1	true
42                      	smoothSolver	6.4943232632930404e-06	1.9531991395018481e-07	2	6.8341521709050891e-06	2.5662024111200111e-07	2	false	smoothSolver	2.8944672415444859e-07	2.6956384480936169e-08	1	true	GAMG	1.0133833220741620e-04	9.3909475584613772e-06	18	true	smoothSolver	5.4949642448389719e-09	4.1513006355027072e-10	1	true
43                      	smoothSolver	6.5219928837665997e-06	1.9624416404944860e-07	2	6.9960932381719511e-06	2.6370900850343962e-07	2	false	smoothSolver	2.7421890850531851e-07	2.5840151160245240e-08	1	true	GAMG	1.0018248751715150e-04	9.9007433610474796e-06	18	true	smoothSolver	5.2116875200735776e-09	3.9710744045461532e-10	1	true
44                      	smoothSolver	6.5604008328591806e-06	1.9694482767705461e-07	2	7.1583536764225771e-06	2.7114688834810542e-07	2	false	smoothSolver	2.6103127319840250e-07	2.4821497708422491e-08	1	true	GAMG	9.7201921343031443e-05	9.0005049774066887e-06	20	true	smoothSolver	4.9711329380158591e-09	3.8044000425597431e-10	1	true
45                      	smoothSolver	6.5945716163362643e-06	1.9867727732783510e-07	2	7.3205944120972812e-06	2.7842471637376412e-07	2	false	smoothSolver	2.4978760204677480e-07	2.3911263960459410e-08	1	true	GAMG	9.2135786629973736e-05	8.6178471337619634e-06	20	true	smoothSolver	4.7708564827598387e-09	3.6502853416792979e-10	1	true
46                      	smoothSolver	6.6182561049394847e-06	2.0079664896503029e-07	2	7.4762285609098361e-06	2.8525726350481620e-07	2	false	smoothSolver	2.4082549816506829e-07	2.3124584621454061e-08	1	true	GAMG	8.7389281443571220e-05	8.1766529157038628e-06	20	true	smoothSolver	4.5853668942144950e-09	3.5093195165134822e-10	1	true
47                      	smoothSolver	6.6505370311589630e-06	2.0311044454878639e-07	2	7.6383080167285954e-06	2.9229299389377020e-07	2	false	smoothSolver	2.3400867170003539e-07	2.2612220026399511e-08	1	true	GAMG	8.3550448891617533e-05	8.3424175906185200e-06	19	true	smoothSolver	4.4041864941323604e-09	3.3780129015504799e-10	1	true
48                      	smoothSolver	6.7432009647730418e-06	2.0549753337755991e-07	2	7.9061293553622780e-06	2.9987909582819298e-07	2	false	smoothSolver	2.2880289289942010e-07	2.2255360244799092e-08	1	true	GAMG	8.0381245243564241e-05	7.7657764238671372e-06	18	true	smoothSolver	4.2183051335196429e-09	3.2542224578131238e-10	1	true
49                      	smoothSolver	6.7929848835648188e-06	2.0846286942279791e-07	2	8.0440635596323341e-06	3.0740561988452719e-07	2	false	smoothSolver	2.2462030518030320e-07	2.2040578884162520e-08	1	true	GAMG	7.9462588126154378e-05	7.8334882616011868e-06	18	true	smoothSolver	4.0626830351231108e-09	3.1384440038452802e-10	1	true
50                      	smoothSolver	6.8375833162239619e-06	2.1175939797312790e-07	2	8.2049330059545928e-06	3.1525330941380419e-07	2	false	smoothSolver	2.2165572109897641e-07	2.1916913655648582e-08	1	true	GAMG	7.8710929627592540e-05	7.7154692500206338e-06	18	true	smoothSolver	3.8838239849419160e-09	3.0289760632033012e-10	1	true
51                      	smoothSolver	6.9018308704186326e-06	2.1463165204263090e-07	2	8.3932931595560035e-06	3.2366274722309782e-07	2	false	smoothSolver	2.2038659984711800e-07	2.1909858568256961e-08	1	true	GAMG	7.8538447895361952e-05	7.4282989390239644e-06	18	true	smoothSolver	3.7371400193543031e-09	2.9268734165525348e-10	1	true
52                      	smoothSolver	6.9721633060389462e-06	2.1738190678748040e-07	2	8.6001344351600059e-06	3.3264365374195148e-07	2	false	smoothSolver	2.1875628643580280e-07	3.8502926173189398e-09	2	true	GAMG	7.8754710499838581e-05	7.8250046306404252e-06	17	true	smoothSolver	3.6591341049077151e-09	2.8326601089153630e-10	1	true
53                      	smoothSolver	7.0685516317936571e-06	2.2026665218512091e-07	2	8.8922037551558739e-06	3.4182402622683952e-07	2	false	smoothSolver	2.1604273938086080e-07	2.1508400570975931e-08	1	true	GAMG	7.8815471265953978e-05	7.4405505072759876e-06	16	true	smoothSolver	3.4969737431064279e-09	2.7440232099595632e-10	1	true
54                      	smoothSolver	7.1097453235299928e-06	2.2314131457091500e-07	2	9.0801157520751776e-06	3.5132355550018273e-07	2	false	smoothSolver	2.1571793772557140e-07	2.1503637304062939e-08	1	true	GAMG	8.0000642021362052e-05	7.8314557539830997e-06	16	true	smoothSolver	3.3727114547673848e-09	2.6561989384476572e-10	1	true
55                      	smoothSolver	7.1774926645067713e-06	2.2538576166760300e-07	2	9.3051775364777182e-06	3.6127909193007119e-07	2	false	smoothSolver	2.1505657712060459e-07	2.1383966903739249e-08	1	true	GAMG	8.1115296470688167e-05	8.0498439028953966e-06	16	true	smoothSolver	3.2641401243812171e-09	2.5723362291610050e-10	1	true
56                      	smoothSolver	7.2362242834388566e-06	2.2823071241376891e-07	2	9.5417372633216521e-06	3.7101172488880739e-07	2	false	smoothSolver	2.1393499295346911e-07	2.1145794631029620e-08	1	true	GAMG	8.2129362674757209e-05	8.0763429117341289e-06	16	true	smoothSolver	3.1624615380260729e-09	2.4920445211720740e-10	1	true
