# y+ ()                 
# Time                  	patch                   	min                     	max                     	average                 
0                       	airfoil	2.4070586057707929e-01	3.7206885107929710e-01	2.6917757446765983e-01
1                       	airfoil	2.4070586059235316e-01	3.7206885107926874e-01	2.6917757446776552e-01
518                     	airfoil	7.8252691519453536e-04	3.9237632623513591e-01	6.5891666394979898e-02
